Date,Open,High,Low,Close,Adj Close,Volume
2018-10-05,20.830000,20.830000,20.420000,20.760000,20.760000,75600
2018-10-08,20.750000,20.889999,20.590000,20.809999,20.809999,57100
2018-10-09,20.760000,20.950001,20.709999,20.760000,20.760000,45900
2018-10-10,20.760000,20.930000,20.580000,20.610001,20.610001,97200
2018-10-11,20.570000,20.740000,20.209999,20.260000,20.260000,124300
2018-10-12,20.510000,20.520000,20.250000,20.469999,20.469999,140800
2018-10-15,20.420000,20.570000,20.030001,20.410000,20.410000,84800
2018-10-16,20.490000,20.709999,20.350000,20.670000,20.670000,69400
2018-10-17,20.629999,20.790001,20.590000,20.650000,20.650000,85700
2018-10-18,20.580000,20.580000,20.070000,20.230000,20.230000,81100
2018-10-19,20.190001,20.459999,20.049999,20.049999,20.049999,53400
2018-10-22,20.010000,20.110001,19.670000,19.799999,19.799999,65600
2018-10-23,19.600000,19.850000,19.200001,19.440001,19.440001,110100
2018-10-24,19.370001,19.549999,19.160000,19.160000,19.160000,74800
2018-10-25,19.230000,19.510000,19.139999,19.320000,19.320000,90300
2018-10-26,19.120001,19.350000,18.900000,19.170000,19.170000,101300
2018-10-29,19.290001,19.520000,18.790001,18.889999,18.889999,68200
2018-10-30,18.910000,19.120001,18.540001,18.870001,18.870001,254400
2018-10-31,19.110001,19.290001,18.889999,19.059999,19.059999,175300
2018-11-01,18.780001,18.780001,14.570000,14.970000,14.970000,822500
2018-11-02,15.020000,15.420000,14.900000,15.340000,15.340000,305000
